
"Regional gross disposable household income (GDHI) at current basic prices"
"ONS Crown Copyright Reserved [from Nomis on 30 November 2025]"
"Analysis   :","standard"
"Component of GDHI:","Gross Disposable Household Income (GDHI)"
"Measure    :","GDHI per head (£)"

"local authority: district / unitary (as of April 2023)","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Newcastle-under-Lyme",8728,8988,9297,9670,10198,10431,10851,11060,11503,12090,12542,13086,13393,13439,13563,14125,14688,15180,16026,15922,16311,16755,17388,17698,18905,18969,20244
"South Staffordshire",10891,11398,11699,12291,12828,13187,13494,13748,14251,14950,15589,16137,16121,16355,16394,16810,17391,17997,19236,19257,19740,20008,20936,20918,21923,23391,25399
"Stafford",10500,10872,11372,12023,12711,12943,13373,13570,13940,14556,15006,15455,15525,15638,15767,16151,16937,17612,18711,18676,19121,19662,20510,20381,20818,22080,24013
"Staffordshire Moorlands",9767,10224,10591,10966,11557,11692,12076,12482,12873,13478,13959,14478,14635,14884,15003,15436,16174,16721,17823,17867,18337,18829,19094,19496,19763,20796,22712
"Tamworth",8108,8261,8749,8996,9602,9789,10253,10369,10631,11166,11362,11756,12416,12370,12577,13089,13604,14194,14718,15059,15548,16152,16977,17156,17461,17904,19377
"North Warwickshire",8768,9017,9410,9855,10388,10755,11295,11782,12017,12549,13038,13596,14160,14114,14367,14930,15546,16239,17390,18139,18192,17703,18488,18905,19526,20465,22225
"Nuneaton and Bedworth",7983,8058,8537,8966,9511,9779,10292,10741,10889,11348,11656,12031,12710,12695,13053,13596,13989,14579,15351,15858,15908,16001,16706,17133,17736,18603,20039
"Rugby",11075,11365,11862,12592,13115,13450,13985,14516,14547,15014,15397,15829,16017,15894,15982,16509,16998,17670,18577,19210,19204,18787,19636,19874,20517,21327,23182
"Stratford-on-Avon",15011,15523,16206,17150,17638,17943,18528,19146,19514,20058,20743,21573,21436,21697,21909,22613,23536,24443,26603,27721,27223,25726,27110,26340,27474,29541,32164
"Warwick",12751,13183,13719,14533,14920,15182,15518,15834,15944,16554,17190,17898,18052,18242,18612,19060,19879,20791,22444,23379,23273,26641,25639,24419,24708,26104,28555
"Bromsgrove",13413,14220,14534,15039,15371,15570,15586,16475,17197,18179,18355,18760,18622,18571,18788,19259,20199,20882,22419,22739,23021,23567,23784,23140,23928,25782,28576
"Malvern Hills",12112,12696,13063,13439,13943,14365,14500,15188,15793,16744,16928,17364,17617,17656,17866,18194,19153,19711,21035,21465,21783,22705,23808,23578,23665,24521,26860
"Redditch",9245,9718,10101,10360,10902,11287,11682,12391,12849,13415,13374,13503,13973,13784,13940,14402,14965,15645,16443,16868,17475,18505,18507,18835,19513,19908,21525
"Worcester",9013,9223,9667,9833,10394,10838,11199,11793,12173,12837,12800,12978,13570,13373,13662,14047,14381,14862,15615,15911,16307,16712,17328,17723,18203,18877,20193
"Wychavon",12443,13063,13200,13637,14135,14386,14683,15487,16145,17052,17260,17709,17837,17791,18033,18392,19192,19894,20993,21274,21442,22685,23195,23172,23255,24524,26718
"Wyre Forest",8952,9400,9669,9855,10384,10766,11173,11781,12274,12975,13096,13464,14017,13995,14264,14773,15396,15870,16685,17091,17404,18051,18703,19120,19862,20558,22201
"Birmingham",8636,8839,9218,9779,10134,10275,10502,10802,10818,11197,11444,11694,11987,12215,12314,12619,12891,13460,13981,14176,14345,14679,15205,15450,16083,16996,18312
"Coventry",8913,8900,9316,10056,10447,10743,10854,11391,11234,11460,12104,12372,12807,12945,13072,13486,13877,14358,14759,15181,15508,15913,16361,16514,17182,17851,19057
"Dudley",9430,9644,10025,10427,10623,10735,10973,11466,11606,11928,12108,12291,12768,13054,13221,13725,14172,14662,15292,15495,15508,15864,16299,16498,16812,17746,19238
"Sandwell",8000,8169,8522,8927,9148,9335,9576,9934,10000,10250,10436,10640,11023,11154,11353,11658,11874,12371,12816,13123,13255,13517,13930,14188,14551,15360,16562
"Solihull",11884,12192,12711,13524,14671,15041,15304,15703,16014,16235,16716,16937,17148,17283,17587,18085,19206,19882,21152,21368,21469,22076,22734,22371,23023,24444,26815
"Walsall",8599,8900,9203,9514,9737,9994,10141,10373,10391,10633,10964,11201,11615,11789,11984,12319,12796,13389,13874,14221,14626,15066,15281,15521,16081,16816,18199
"Wolverhampton",8765,9007,9419,9753,10094,10274,10460,10728,10833,11081,11456,11747,12147,12210,12283,12517,12836,13293,13812,14208,14429,14776,15272,15621,16210,16958,18174
"Peterborough",9825,10079,10813,11449,11736,11903,11930,12121,12448,13079,13647,13807,13881,14097,14163,14486,14793,15372,15914,16045,16351,16626,17201,17455,17809,18938,20393
"Luton",9228,8883,9393,9898,10528,10841,11239,11568,11752,11902,12287,12480,12643,12868,13010,13307,13486,13851,14368,15023,15805,16164,16640,16927,17291,18169,19338
"Southend-on-Sea",10758,11000,11615,12238,12974,13406,13790,13893,14201,14643,15077,15334,15875,16159,16319,16678,17279,17773,18713,19143,19805,20510,20945,21293,22168,23277,25329
"Thurrock",9972,10028,10302,10419,10872,11522,12040,12327,12758,13117,13678,14145,14519,14710,14854,15219,15681,16290,16980,17684,18185,18921,19610,19941,20586,21560,23074
"Bedford",11279,11236,11709,12143,12245,12739,13018,13468,14156,14621,15187,15699,16193,16518,16728,16954,17320,17793,18840,19294,19812,20440,20991,21000,21464,22533,24378
"Central Bedfordshire",11886,11896,12477,13075,13308,13861,14125,14478,15052,15491,16001,16435,16788,17259,17301,17858,18729,19042,19991,20454,21032,21818,22248,22133,22583,23778,25673
"Cambridge",11679,11918,12674,13301,13654,14333,14443,15150,15588,16437,17324,17659,18162,17954,17866,18444,19026,19901,20600,21044,21323,21573,22771,22383,22798,23953,25834
"East Cambridgeshire",11778,11776,12512,12936,13141,13576,13315,14398,15270,15738,16116,16377,16516,16665,16673,17188,17988,18874,19873,20393,20964,21942,22506,22589,23682,24747,26924
"Fenland",8943,9127,9615,9891,10180,10678,10932,11357,12119,12512,12652,12959,13604,13671,13898,14411,14862,15491,15929,16396,16721,16967,17557,18151,18291,19605,21448
"Huntingdonshire",9626,9924,10610,10936,11221,11652,11952,12453,13446,14044,14542,14860,15418,15555,15610,16289,16941,17738,18476,19115,19760,20565,21414,21360,21368,22554,24594
"South Cambridgeshire",14181,14632,15377,16222,16309,16740,16708,17550,18675,19304,20005,20374,20215,20330,20380,20928,22036,23034,24396,24706,25337,26293,26645,25995,27228,28333,31091
"Basildon",11045,11206,11886,12260,12939,13302,13620,14095,14514,14866,15309,15783,16399,16319,16374,16894,16934,17270,18039,18612,19135,19946,20635,20802,21396,22484,24180
"Braintree",10812,10955,11665,12098,12646,13015,13184,13667,14160,14448,14993,15566,15957,15909,16026,16557,17153,17761,18766,19154,19676,20591,21311,21261,22069,23161,25155
"Brentwood",16498,16625,17556,18520,19157,19353,19698,20293,20998,21443,22292,23123,23092,22853,22800,23508,24414,24877,26398,27506,28425,29914,29894,29298,30560,31769,34635
"Castle Point",10445,10550,11237,11610,12259,12637,12958,13398,13897,14297,14828,15424,16120,16275,16486,17019,17345,17906,18892,19393,20116,21247,21693,21508,22200,23521,25529
"Chelmsford",12123,12212,13040,13482,14147,14285,14494,14794,15214,15670,16195,16807,17446,17239,17393,17999,18647,19222,20292,21134,21755,22697,23957,23937,24504,25729,27815
"Colchester",10021,10354,11105,11642,12327,12808,13093,13657,14025,14348,14860,15342,15859,15642,15808,16350,16878,17195,17972,18322,18886,19466,20036,20012,20677,21678,23496
"Epping Forest",14904,15255,15810,16635,17116,17294,17609,18327,19288,19819,20771,21598,21453,21525,21785,22498,23129,23669,26441,26576,28356,30104,30209,29104,32485,32837,34838
