region,region_code,age_band,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
North East Lincolnshire,E06000012,Aged 18 - 24,11423.0,11833.0,12301.0,12724.0,13256.0,13833.0,14222.0,14555.0,14861.0,14901.0,14630.0,14314.0,13733.0,13508.0,13086.0,12491.0,12086.0,11678.0,11322.0,11046.0,10986.0,10692.0,10704.0,10621.0
North East Lincolnshire,E06000012,Aged 65 and over,26162.0,26467.0,26585.0,26771.0,27008.0,27095.0,27127.0,27323.0,27639.0,28010.0,28513.0,29446.0,30071.0,30650.0,31031.0,31346.0,31660.0,31978.0,32474.0,32788.0,33040.0,33467.0,33938.0,34590.0
North East Lincolnshire,E06000012,All ages,157951.0,158003.0,158373.0,158542.0,158725.0,158610.0,158589.0,158708.0,158689.0,158951.0,159735.0,159408.0,159456.0,159420.0,159140.0,158877.0,158699.0,158460.0,157957.0,157313.0,157188.0,157842.0,158663.0,159911.0
North Lincolnshire,E06000013,Aged 0 - 15,30908.0,30888.0,31087.0,31188.0,31026.0,30929.0,30904.0,30994.0,31039.0,31129.0,31266.0,31226.0,31148.0,31016.0,31101.0,31053.0,31086.0,30894.0,30768.0,30526.0,30136.0,30411.0,30530.0,30501.0
North Lincolnshire,E06000013,Aged 16 - 59/64,92165.0,92993.0,94204.0,95623.0,96656.0,97775.0,98751.0,99717.0,100024.0,100074.0,100237.0,99653.0,99189.0,99065.0,98734.0,98975.0,98807.0,98140.0,97573.0,97001.0,96519.0,95769.0,95337.0,95275.0
North Lincolnshire,E06000013,Aged 16 - 64,96277.0,97186.0,98587.0,100184.0,101390.0,102691.0,104003.0,105185.0,105559.0,105693.0,105934.0,105186.0,104623.0,104429.0,104066.0,104346.0,104221.0,103635.0,103119.0,102612.0,102277.0,101708.0,101410.0,101569.0
North Lincolnshire,E06000013,Aged 18 - 24,10452.0,10681.0,11060.0,11641.0,11965.0,12405.0,12844.0,13169.0,13370.0,13364.0,13334.0,13087.0,13123.0,13190.0,12943.0,12739.0,12275.0,12067.0,11883.0,11637.0,11275.0,10798.0,10748.0,10910.0
North Lincolnshire,E06000013,Aged 65 and over,25779.0,26166.0,26522.0,26839.0,27263.0,27543.0,27894.0,28340.0,28974.0,29717.0,30316.0,31562.0,32538.0,33371.0,34045.0,34775.0,35309.0,35855.0,36396.0,36896.0,37516.0,38006.0,38537.0,39266.0
North Lincolnshire,E06000013,All ages,152964.0,154240.0,156196.0,158211.0,159679.0,161163.0,162801.0,164519.0,165572.0,166539.0,167516.0,167974.0,168309.0,168816.0,169212.0,170174.0,170616.0,170384.0,170283.0,170034.0,169929.0,170125.0,170477.0,171336.0
York,E06000014,Aged 0 - 15,31753.0,31202.0,30900.0,30666.0,30617.0,30614.0,30486.0,30569.0,31043.0,31267.0,31750.0,31828.0,31868.0,31943.0,31920.0,31970.0,31855.0,31621.0,31482.0,31147.0,30695.0,30555.0,30744.0,30436.0
York,E06000014,Aged 16 - 59/64,114285.0,115453.0,117379.0,120027.0,121463.0,121869.0,121979.0,122196.0,122753.0,124624.0,126308.0,126908.0,128230.0,128629.0,129156.0,128378.0,128644.0,128766.0,128464.0,126922.0,126383.0,128854.0,130201.0,132446.0
York,E06000014,Aged 16 - 64,118905.0,120069.0,122046.0,124749.0,126265.0,126882.0,127494.0,128018.0,128726.0,130672.0,132340.0,132565.0,133686.0,133959.0,134454.0,133654.0,133972.0,134218.0,133933.0,132515.0,132153.0,134819.0,136162.0,138647.0
York,E06000014,Aged 18 - 24,20096.0,21373.0,22576.0,24203.0,24607.0,24693.0,24713.0,24682.0,25170.0,26163.0,27117.0,27741.0,28543.0,28777.0,28920.0,28377.0,29214.0,29904.0,29586.0,28634.0,28447.0,30935.0,31402.0,33101.0
York,E06000014,Aged 65 and over,30633.0,30817.0,31014.0,31228.0,31332.0,31481.0,31790.0,32181.0,32629.0,33131.0,33693.0,34764.0,35614.0,36304.0,36838.0,37268.0,37719.0,38067.0,38462.0,38507.0,39003.0,39374.0,39840.0,40218.0
York,E06000014,All ages,181291.0,182088.0,183960.0,186643.0,188214.0,188977.0,189770.0,190768.0,192398.0,195070.0,197783.0,199157.0,201168.0,202206.0,203212.0,202892.0,203546.0,203906.0,203877.0,202169.0,201851.0,204748.0,206746.0,209301.0
Derby,E06000015,Aged 0 - 15,48119.0,47945.0,47858.0,47967.0,48078.0,48109.0,48434.0,48953.0,49434.0,50035.0,50747.0,51355.0,51642.0,52051.0,52570.0,53118.0,53479.0,53614.0,53387.0,52846.0,52190.0,52890.0,54006.0,54956.0
Derby,E06000015,Aged 16 - 59/64,140465.0,141930.0,142684.0,144086.0,145729.0,147424.0,148635.0,149714.0,150931.0,153033.0,153919.0,155453.0,156602.0,157020.0,158170.0,159440.0,159686.0,160454.0,160564.0,159907.0,159286.0,160860.0,164858.0,167328.0
Derby,E06000015,Aged 16 - 64,145659.0,147156.0,147981.0,149555.0,151283.0,153113.0,154629.0,156038.0,157309.0,159424.0,160299.0,161587.0,162562.0,162984.0,164077.0,165524.0,165871.0,166774.0,166984.0,166516.0,166013.0,167905.0,172003.0,174676.0
Derby,E06000015,Aged 18 - 24,22553.0,23110.0,23499.0,24404.0,24561.0,24664.0,24901.0,25063.0,25523.0,26681.0,27206.0,28002.0,27817.0,27408.0,27351.0,27256.0,27325.0,27201.0,26942.0,25979.0,24963.0,25201.0,25255.0,25393.0
Derby,E06000015,Aged 65 and over,36948.0,36878.0,36988.0,36979.0,37109.0,36888.0,36854.0,36874.0,37237.0,37576.0,37897.0,38862.0,39608.0,40285.0,40759.0,41241.0,41754.0,42007.0,42643.0,42637.0,43057.0,43526.0,43894.0,44517.0
Derby,E06000015,All ages,230726.0,231979.0,232827.0,234501.0,236470.0,238110.0,239917.0,241865.0,243980.0,247035.0,248943.0,251804.0,253812.0,255320.0,257406.0,259883.0,261104.0,262395.0,263014.0,261999.0,261260.0,264321.0,269903.0,274149.0
Leicester,E06000016,Aged 0 - 15,62222.0,62246.0,62485.0,62875.0,63746.0,64380.0,65063.0,66374.0,67549.0,68364.0,69411.0,70815.0,72190.0,73864.0,75645.0,77446.0,78582.0,79163.0,79208.0,78689.0,77171.0,78024.0,79348.0,80340.0
Leicester,E06000016,Aged 16 - 59/64,176869.0,179708.0,183090.0,188425.0,195240.0,199852.0,203987.0,206450.0,208976.0,212778.0,215789.0,218064.0,220703.0,222249.0,226768.0,231059.0,234164.0,237848.0,239556.0,238515.0,237282.0,241441.0,248751.0,252382.0
Leicester,E06000016,Aged 16 - 64,182699.0,185341.0,188654.0,194008.0,200787.0,205448.0,209866.0,212562.0,215358.0,219540.0,222820.0,225227.0,227995.0,229711.0,234346.0,238839.0,242118.0,245940.0,247772.0,246943.0,245953.0,250254.0,257721.0,261385.0
Leicester,E06000016,Aged 18 - 24,35196.0,36744.0,38988.0,42206.0,44238.0,45283.0,45674.0,45379.0,45464.0,46396.0,46566.0,46947.0,46924.0,46092.0,47421.0,48871.0,50844.0,52553.0,52164.0,50229.0,48270.0,48889.0,52142.0,54443.0
Leicester,E06000016,Aged 65 and over,37836.0,37708.0,37509.0,37244.0,37010.0,36720.0,36374.0,36537.0,36801.0,37008.0,37396.0,38057.0,38667.0,39342.0,39862.0,40504.0,41195.0,41991.0,42796.0,43290.0,43816.0,44808.0,45627.0,46623.0
