region,region_code,year,metric,value
South East,E12000008,2013,gdhi_total_mn_gbp,176915
South East,E12000008,2014,gdhi_total_mn_gbp,182990
South East,E12000008,2015,gdhi_total_mn_gbp,195449
South East,E12000008,2016,gdhi_total_mn_gbp,199906
South East,E12000008,2017,gdhi_total_mn_gbp,205990
South East,E12000008,2018,gdhi_total_mn_gbp,214157
South East,E12000008,2019,gdhi_total_mn_gbp,222009
South East,E12000008,2020,gdhi_total_mn_gbp,219706
South East,E12000008,2021,gdhi_total_mn_gbp,228729
South East,E12000008,2022,gdhi_total_mn_gbp,244613
South West,E12000009,1997,gdhi_per_head_gbp,10914
South West,E12000009,1998,gdhi_per_head_gbp,11127
South West,E12000009,1999,gdhi_per_head_gbp,11525
South West,E12000009,2000,gdhi_per_head_gbp,11959
South West,E12000009,2001,gdhi_per_head_gbp,12423
South West,E12000009,2002,gdhi_per_head_gbp,12597
South West,E12000009,2003,gdhi_per_head_gbp,12930
South West,E12000009,2004,gdhi_per_head_gbp,13396
South West,E12000009,2005,gdhi_per_head_gbp,13901
South West,E12000009,2006,gdhi_per_head_gbp,14614
South West,E12000009,2007,gdhi_per_head_gbp,15134
South West,E12000009,2008,gdhi_per_head_gbp,15612
South West,E12000009,2009,gdhi_per_head_gbp,15699
South West,E12000009,2010,gdhi_per_head_gbp,16065
South West,E12000009,2011,gdhi_per_head_gbp,16312
South West,E12000009,2012,gdhi_per_head_gbp,16685
South West,E12000009,2013,gdhi_per_head_gbp,17306
South West,E12000009,2014,gdhi_per_head_gbp,17888
South West,E12000009,2015,gdhi_per_head_gbp,18686
South West,E12000009,2016,gdhi_per_head_gbp,18841
South West,E12000009,2017,gdhi_per_head_gbp,19265
South West,E12000009,2018,gdhi_per_head_gbp,19996
South West,E12000009,2019,gdhi_per_head_gbp,20725
South West,E12000009,2020,gdhi_per_head_gbp,20627
South West,E12000009,2021,gdhi_per_head_gbp,21304
South West,E12000009,2022,gdhi_per_head_gbp,22612
South West,E12000009,1997,gdhi_total_mn_gbp,52685
South West,E12000009,1998,gdhi_total_mn_gbp,53962
South West,E12000009,1999,gdhi_total_mn_gbp,56252
South West,E12000009,2000,gdhi_total_mn_gbp,58802
South West,E12000009,2001,gdhi_total_mn_gbp,61409
South West,E12000009,2002,gdhi_total_mn_gbp,62686
South West,E12000009,2003,gdhi_total_mn_gbp,64734
South West,E12000009,2004,gdhi_total_mn_gbp,67495
South West,E12000009,2005,gdhi_total_mn_gbp,70703
South West,E12000009,2006,gdhi_total_mn_gbp,74819
South West,E12000009,2007,gdhi_total_mn_gbp,78253
South West,E12000009,2008,gdhi_total_mn_gbp,81260
South West,E12000009,2009,gdhi_total_mn_gbp,82058
South West,E12000009,2010,gdhi_total_mn_gbp,84524
South West,E12000009,2011,gdhi_total_mn_gbp,86466
South West,E12000009,2012,gdhi_total_mn_gbp,89039
South West,E12000009,2013,gdhi_total_mn_gbp,93014
South West,E12000009,2014,gdhi_total_mn_gbp,96992
South West,E12000009,2015,gdhi_total_mn_gbp,102242
South West,E12000009,2016,gdhi_total_mn_gbp,104133
South West,E12000009,2017,gdhi_total_mn_gbp,107397
South West,E12000009,2018,gdhi_total_mn_gbp,112171
South West,E12000009,2019,gdhi_total_mn_gbp,116946
South West,E12000009,2020,gdhi_total_mn_gbp,116792
South West,E12000009,2021,gdhi_total_mn_gbp,121705
South West,E12000009,2022,gdhi_total_mn_gbp,130402
Northern Ireland,N92000002,1997,gdhi_per_head_gbp,8567
Northern Ireland,N92000002,1998,gdhi_per_head_gbp,8590
Northern Ireland,N92000002,1999,gdhi_per_head_gbp,8919
Northern Ireland,N92000002,2000,gdhi_per_head_gbp,9383
Northern Ireland,N92000002,2001,gdhi_per_head_gbp,9641
Northern Ireland,N92000002,2002,gdhi_per_head_gbp,10173
Northern Ireland,N92000002,2003,gdhi_per_head_gbp,10643
Northern Ireland,N92000002,2004,gdhi_per_head_gbp,11241
Northern Ireland,N92000002,2005,gdhi_per_head_gbp,11814
Northern Ireland,N92000002,2006,gdhi_per_head_gbp,12403
Northern Ireland,N92000002,2007,gdhi_per_head_gbp,12659
Northern Ireland,N92000002,2008,gdhi_per_head_gbp,12869
Northern Ireland,N92000002,2009,gdhi_per_head_gbp,13041
