region_code,metric,year,value,ci_lower,ci_upper,ci_width,cv
E12000004,nominal_gva_mn_gbp,2042,68005028.68528986,49940350.99646589,92483796.37691744,42543445.380451545,0.312796319646683
E12000004,nominal_gva_mn_gbp,2043,116920184.01384051,85177319.00258422,160284009.22452784,75106690.22194362,0.3211878721173275
E12000004,nominal_gva_mn_gbp,2044,200694073.8981558,145070399.78918254,277284422.8514076,132214023.06222504,0.3293919458960167
E12000004,nominal_gva_mn_gbp,2045,343939954.1655405,246726884.2990109,478832882.38274497,232105998.08373407,0.33742226698678335
E12000004,nominal_gva_mn_gbp,2046,588515887.9952836,419040542.57920474,825459030.8676661,406418488.2884614,0.34529100792238804
E12000004,nominal_gva_mn_gbp,2047,1005524971.6490067,710762217.9560683,1420680992.7204375,709918774.7643692,0.35300902254080313
E12000004,nominal_gva_mn_gbp,2048,1715622822.3031557,1204071334.7631314,2441330603.9660263,1237259269.202895,0.36058603707017706
E12000004,nominal_gva_mn_gbp,2049,2923361844.176945,2037386064.5259535,4189160502.2220063,2151774437.6960526,0.36803080706245445
E12000004,nominal_gva_mn_gbp,2050,4975245969.580052,3443686294.759321,7178615855.851306,3734929561.0919847,0.375351247348203
E12000004,population_total,2025,5074255.131223969,5036843.550240594,5108492.033306627,71648.48306603264,0.007060000060417754
E12000004,population_total,2026,5106320.134826225,5055541.077453854,5157542.267029845,102001.1895759916,0.009987739397724113
E12000004,population_total,2027,5139022.452028344,5076510.299827612,5202236.836538362,125726.53671075031,0.012232534288804938
E12000004,population_total,2028,5171777.283942643,5099208.099660474,5245311.132149828,146103.0324893538,0.014125031344928091
E12000004,population_total,2029,5204180.656104503,5122609.313224945,5286982.281060538,164372.96783559304,0.015792396411410465
E12000004,population_total,2030,5236483.994526107,5146643.174080112,5327823.921164266,181180.74708415382,0.017299847309143773
E12000004,population_total,2031,5268492.669433889,5170930.479096608,5367825.915688135,196895.4365915265,0.018686126084397053
E12000004,population_total,2032,5300333.06649055,5195474.162907864,5407238.106061347,211763.94315348286,0.019976475109864725
E12000004,population_total,2033,5331912.002549948,5220099.311170771,5446048.974573344,225949.6634025732,0.021188427649829405
E12000004,population_total,2034,5363296.261154317,5244811.124502668,5484386.8810491515,239575.75654648338,0.022334749460112855
E12000004,population_total,2035,5394442.649423967,5269522.257667642,5522252.732735245,252730.47506760247,0.023425077574472843
E12000004,population_total,2036,5425388.942071161,5294234.945149121,5559719.831135581,265484.8859864604,0.02446689894689012
E12000004,population_total,2037,5456116.912168938,5318904.046693976,5596796.821162873,277892.7744688969,0.02546616750908549
E12000004,population_total,2038,5486649.861776536,5343530.331326031,5633529.521248807,289999.1899227761,0.02642771064571601
E12000004,population_total,2039,5516982.123388688,5368090.339172367,5669930.022943093,301839.68377072643,0.027355506780700593
E12000004,population_total,2040,5547129.546970906,5392584.649762775,5706029.429096081,313444.7793333065,0.028252880762850378
E12000004,population_total,2041,5577092.761698031,5417001.424519731,5741840.809537251,324839.3850175198,0.02912264497808151
E12000004,population_total,2042,5606883.612356834,5441341.627623549,5777386.872611371,336045.24498782214,0.029967203550223746
E12000004,population_total,2043,5636505.813349696,5465599.845540227,5812680.438371948,347080.5928317206,0.030788630786974698
E12000004,population_total,2044,5665968.925724624,5489777.576040477,5847739.115356509,357961.5393160321,0.03158873124866743
E12000004,population_total,2045,5695278.082289273,5513873.036359841,5882574.933483378,368701.897123537,0.03236908644286371
E12000004,population_total,2046,5724441.436735794,5537888.212559846,5917202.199913508,379313.987353662,0.033131091613538756
