region_code,metric,year,value,ci_lower,ci_upper,ci_width,cv
TLJ3,productivity_gbp_per_job,2049,222141.54912826748,152023.8402179499,292082.58517570276,140058.74495775285,0.31524661979574353
TLJ3,employment_rate,2049,43.840403730951024,42.51537750114364,45.27534706090702,2.759969559763384,0.03147746513354831
TLJ3,income_per_worker_gbp,2049,133266.87540159203,105729.1873694312,161244.12354032908,55514.93617089788,0.20828482698197445
TLJ3,gdhi_per_head_gbp,2049,58525.0097440909,47307.21531584908,68752.42387473931,21445.208558890234,0.18321405372389105
TLJ3,productivity_gbp_per_job,2050,227363.31182707188,154394.97230139136,300924.529369613,146529.55706822162,0.3222365910549129
TLJ3,employment_rate,2050,44.470506411968444,43.113984697799154,45.969687767745484,2.8557030699463297,0.03210783168839481
TLJ3,income_per_worker_gbp,2050,135529.06412159387,106818.90143821375,164478.87463493305,57659.97319671929,0.21272180093041873
TLJ3,gdhi_per_head_gbp,2050,60464.310244767694,49125.77755846619,71177.34352945838,22051.56597099219,0.18235191869157585
TLJ4,productivity_gbp_per_job,2025,77653.86263248906,70269.11242962081,85057.28790224627,14788.175472625458,0.09521854400606684
TLJ4,employment_rate,2025,39.702978082844695,39.45352687655691,39.954989837437324,0.5014629608804171,0.00631518068788264
TLJ4,income_per_worker_gbp,2025,66419.81337553961,62072.65776303356,70520.51266674667,8447.854903713109,0.06359438904132932
TLJ4,gdhi_per_head_gbp,2025,26324.20311707964,24783.471846397322,27791.92111804019,3008.4492716428686,0.05714226672432356
TLJ4,productivity_gbp_per_job,2026,80327.65387533995,70890.24696215545,89821.16051195306,18930.91354979761,0.1178355935751366
TLJ4,employment_rate,2026,39.860702823399556,39.50313860942723,40.22808981397499,0.7249512045477573,0.009093557729772226
TLJ4,income_per_worker_gbp,2026,68503.83415576906,63403.48363367624,73806.77878307064,10403.295149394398,0.07593221078500964
