region_code,region_name,region_level,metric_id,period,value,unit,freq,source,vintage,geo_hierarchy,metric,year,region,data_type,ci_lower,ci_upper,method,quality_metrics,itl1_code
TLD1,Cumbria,ITL2,population_total,2002.0,488681.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2002,Cumbria,historical,,,,,E12000002
TLD1,Cumbria,ITL2,population_total,2003.0,491329.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2003,Cumbria,historical,,,,,E12000002
TLD1,Cumbria,ITL2,population_total,2004.0,494918.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2004,Cumbria,historical,,,,,E12000002
TLD1,Cumbria,ITL2,population_total,2005.0,497040.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2005,Cumbria,historical,,,,,E12000002
TLD1,Cumbria,ITL2,population_total,2006.0,498813.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2006,Cumbria,historical,,,,,E12000002
TLD1,Cumbria,ITL2,population_total,2007.0,500779.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2007,Cumbria,historical,,,,,E12000002
TLD1,Cumbria,ITL2,population_total,2008.0,500916.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2008,Cumbria,historical,,,,,E12000002
TLD1,Cumbria,ITL2,population_total,2009.0,500786.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2009,Cumbria,historical,,,,,E12000002
TLD1,Cumbria,ITL2,population_total,2010.0,500165.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2010,Cumbria,historical,,,,,E12000002
TLD1,Cumbria,ITL2,population_total,2011.0,499817.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2011,Cumbria,historical,,,,,E12000002
TLD1,Cumbria,ITL2,population_total,2012.0,498835.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2012,Cumbria,historical,,,,,E12000002
TLD1,Cumbria,ITL2,population_total,2013.0,498080.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2013,Cumbria,historical,,,,,E12000002
TLD1,Cumbria,ITL2,population_total,2014.0,498303.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2014,Cumbria,historical,,,,,E12000002
TLD1,Cumbria,ITL2,population_total,2015.0,498718.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2015,Cumbria,historical,,,,,E12000002
TLD1,Cumbria,ITL2,population_total,2016.0,498946.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2016,Cumbria,historical,,,,,E12000002
TLD1,Cumbria,ITL2,population_total,2017.0,498693.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2017,Cumbria,historical,,,,,E12000002
TLD1,Cumbria,ITL2,population_total,2018.0,498941.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2018,Cumbria,historical,,,,,E12000002
TLD1,Cumbria,ITL2,population_total,2019.0,499171.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2019,Cumbria,historical,,,,,E12000002
TLD1,Cumbria,ITL2,population_total,2020.0,498439.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2020,Cumbria,historical,,,,,E12000002
