metric,year,value,ci_lower,ci_upper,ci_width
uk_population_16_64,2027,44068089.66575308,43741236.69655469,44394942.63495147,653705.9383967817
uk_population_16_64,2028,44215885.36503531,43851080.33989209,44580690.39017853,729610.050286442
uk_population_16_64,2029,44362799.44136557,43963763.592761114,44761835.289970025,798071.6972089112
uk_population_16_64,2030,44508866.38458982,44078227.0673314,44939505.70184824,861278.6345168352
uk_population_16_64,2031,44654119.33528166,44193856.96428754,45114381.70627579,920524.7419882491
uk_population_16_64,2032,44798590.13752705,44310265.703179985,45286914.57187411,976648.8686941266
uk_population_16_64,2033,44942309.38964395,44427194.07557902,45457424.7037089,1030230.6281298846
uk_population_16_64,2034,45085306.49291795,44544461.60436386,45626151.381472036,1081689.7771081775
uk_population_16_64,2035,45227609.69843105,44661938.944752365,45793280.45210974,1131341.5073573738
uk_population_16_64,2036,45369246.15205878,44779531.447785586,45958960.85633196,1179429.4085463732
uk_population_16_64,2037,45510241.937706664,44897168.83227241,46123315.04314093,1226146.2108685225
uk_population_16_64,2038,45650622.118855536,45014798.40980007,46286445.827911004,1271647.4181109369
uk_population_16_64,2039,45790410.77848131,45132380.481055155,46448441.075907476,1316060.5948523208
uk_population_16_64,2040,45929631.05741328,45249885.114353776,46609377.00047278,1359491.8861190006
uk_population_16_64,2041,46068305.1911916,45367289.83479931,46769320.54758389,1402030.712784581
uk_population_16_64,2042,46206454.54548307,45484577.931212276,46928331.15975386,1443753.2285415828
uk_population_16_64,2043,46344099.65011125,45601737.19288497,47086462.10733753,1484724.9144525602
uk_population_16_64,2044,46481260.23175542,45718758.952050745,47243761.511460096,1525002.5594093502
uk_population_16_64,2045,46617955.24537024,45835637.34804021,47400273.142700255,1564635.7946600467
uk_population_16_64,2046,46754202.90437627,45952368.75496555,47556037.05378699,1603668.2988214418
uk_population_16_64,2047,46890020.70966947,46068951.331882074,47711090.08745687,1642138.7555747926
uk_population_16_64,2048,47025425.477495715,46185384.665938005,47865466.28905344,1680081.6231154352
uk_population_16_64,2049,47160433.36623495,46301669.48699196,48019197.24547793,1717527.7584859729
uk_population_16_64,2050,47295059.9021374,46417807.43776639,48172312.3665084,1754504.9287420139
uk_population_total,2025,69484679.98530714,69207092.43161672,69763380.93427648,556288.502659753
uk_population_total,2026,69907764.71851195,69521797.76295906,70295874.46230642,774076.6993473619
uk_population_total,2027,70328588.29974899,69816201.85254024,70844735.19029827,1028533.3377580345
uk_population_total,2028,70747198.70459528,70092861.32945566,71407644.51064242,1314783.1811867654
uk_population_total,2029,71163643.81909274,70353772.40447342,71982837.99901326,1629065.594539836
uk_population_total,2030,71577971.40810004,70600489.68375736,72568986.6153645,1968496.931607142
uk_population_total,2031,71990229.08549502,70834267.0691772,73165055.53337201,2330788.4641948193
uk_population_total,2032,72400464.28614871,71056147.62217984,73770214.17938063,2714066.5572007895
uk_population_total,2033,72808724.23960908,71267020.46694832,74383779.35075828,3116758.883809969
uk_population_total,2034,73215055.94542748,71467658.19148122,75005177.90480798,3537519.713326767
uk_population_total,2035,73619506.15005884,71658742.42472139,75633921.3107482,3975178.8860268146
