region_code,region_name,metric_id,period,value,data_type,ci_lower,ci_upper,unit
TLC3,Tees Valley,nominal_gva_mn_gbp,2000,8114.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2001,8229.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2002,8650.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2003,9284.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2004,9881.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2005,10199.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2006,10711.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2007,10999.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2008,11405.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2009,11444.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2010,11496.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2011,11635.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2012,11810.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2013,12107.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2014,12598.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2015,13243.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2016,13312.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2017,13254.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2018,13542.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2019,13906.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2020,13430.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2021,14304.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2022,15708.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2023,16728.0,historical,,,
TLC3,Tees Valley,nominal_gva_mn_gbp,2024,17346.533360363617,forecast,16614.579301590642,18078.487419136396,
TLC3,Tees Valley,nominal_gva_mn_gbp,2025,18032.567613488627,forecast,16987.564523084002,19077.570703893045,
TLC3,Tees Valley,nominal_gva_mn_gbp,2026,18678.12055678814,forecast,17383.140760548766,19973.100353027305,
TLC3,Tees Valley,nominal_gva_mn_gbp,2027,19348.181508715716,forecast,17831.76807570804,20864.594941723168,
TLC3,Tees Valley,nominal_gva_mn_gbp,2028,20043.613672798165,forecast,18322.01855678959,21765.208788806518,
TLC3,Tees Valley,nominal_gva_mn_gbp,2029,20768.24120681009,forecast,18851.122580423154,22685.359833196813,
TLC3,Tees Valley,nominal_gva_mn_gbp,2030,21520.491613968275,forecast,19413.911827426356,23627.071400509976,
TLC3,Tees Valley,nominal_gva_mn_gbp,2031,22301.43489474061,forecast,20008.934412293802,24593.935377187187,
TLC3,Tees Valley,nominal_gva_mn_gbp,2032,23112.207345888528,forecast,20635.52509752972,25588.889594247103,
TLC3,Tees Valley,nominal_gva_mn_gbp,2033,23954.023327928324,forecast,21293.534641034043,26614.512014822372,
TLC3,Tees Valley,nominal_gva_mn_gbp,2034,24140.035895897596,forecast,21373.886410514384,26906.18538128058,
TLC3,Tees Valley,nominal_gva_mn_gbp,2035,24944.009592167702,forecast,22006.177107488576,27881.842076846595,
TLC3,Tees Valley,nominal_gva_mn_gbp,2036,25776.92845353985,forecast,22666.203913632937,28887.65299344653,
TLC3,Tees Valley,nominal_gva_mn_gbp,2037,26640.216268078893,forecast,23354.727212558213,29925.705323599337,
TLC3,Tees Valley,nominal_gva_mn_gbp,2038,27535.539001938057,forecast,24072.795311007147,30998.282692868714,
TLC3,Tees Valley,nominal_gva_mn_gbp,2039,28457.342931123578,forecast,24815.21718827731,32099.468673969586,
TLC3,Tees Valley,nominal_gva_mn_gbp,2040,29416.766338503607,forecast,25591.42660419825,33242.1060728087,
TLC3,Tees Valley,nominal_gva_mn_gbp,2041,30433.251668585,forecast,26418.022276755943,34448.48106041379,
TLC3,Tees Valley,nominal_gva_mn_gbp,2042,31486.266582728695,forecast,27276.87838773693,35695.65477772018,
TLC3,Tees Valley,nominal_gva_mn_gbp,2043,32575.28942404095,forecast,28167.35536270347,36983.22348537814,
TLC3,Tees Valley,nominal_gva_mn_gbp,2044,33701.53561527003,forecast,29090.34331260279,38312.72791793701,
TLC3,Tees Valley,nominal_gva_mn_gbp,2045,34866.261034634605,forecast,30046.782670681394,39685.739398587524,
TLC3,Tees Valley,nominal_gva_mn_gbp,2046,36070.76334280738,forecast,31037.662658734658,41103.86402687982,
TLC3,Tees Valley,nominal_gva_mn_gbp,2047,37316.38335279463,forecast,32064.020307293544,42568.74639829543,
TLC3,Tees Valley,nominal_gva_mn_gbp,2048,38604.506444077706,forecast,33126.9399124914,44082.07297566372,
TLC3,Tees Valley,nominal_gva_mn_gbp,2049,39936.564022431616,forecast,34227.55284305975,45645.575201803185,
TLC3,Tees Valley,population_total,1991,656181.0,historical,,,
TLC3,Tees Valley,population_total,1992,656572.0,historical,,,
TLC3,Tees Valley,population_total,1993,656208.0,historical,,,
TLC3,Tees Valley,population_total,1994,656800.0,historical,,,
TLC3,Tees Valley,population_total,1995,655641.0,historical,,,
TLC3,Tees Valley,population_total,1996,654622.0,historical,,,
TLC3,Tees Valley,population_total,1997,652274.0,historical,,,
TLC3,Tees Valley,population_total,1998,652787.0,historical,,,
TLC3,Tees Valley,population_total,1999,651261.0,historical,,,
TLC3,Tees Valley,population_total,2000,651860.0,historical,,,
TLC3,Tees Valley,population_total,2001,652233.0,historical,,,
TLC3,Tees Valley,population_total,2002,652017.0,historical,,,
TLC3,Tees Valley,population_total,2003,652359.0,historical,,,
TLC3,Tees Valley,population_total,2004,652441.0,historical,,,
TLC3,Tees Valley,population_total,2005,653788.0,historical,,,
TLC3,Tees Valley,population_total,2006,655350.0,historical,,,
TLC3,Tees Valley,population_total,2007,656668.0,historical,,,
TLC3,Tees Valley,population_total,2008,658509.0,historical,,,
TLC3,Tees Valley,population_total,2009,659003.0,historical,,,
TLC3,Tees Valley,population_total,2010,660753.0,historical,,,
TLC3,Tees Valley,population_total,2011,663028.0,historical,,,
TLC3,Tees Valley,population_total,2012,664161.0,historical,,,
TLC3,Tees Valley,population_total,2013,665405.0,historical,,,
TLC3,Tees Valley,population_total,2014,667432.0,historical,,,
TLC3,Tees Valley,population_total,2015,668875.0,historical,,,
TLC3,Tees Valley,population_total,2016,670923.0,historical,,,
TLC3,Tees Valley,population_total,2017,672690.0,historical,,,
TLC3,Tees Valley,population_total,2018,673541.0,historical,,,
TLC3,Tees Valley,population_total,2019,674626.0,historical,,,
TLC3,Tees Valley,population_total,2020,674447.0,historical,,,
TLC3,Tees Valley,population_total,2021,678365.0,historical,,,
TLC3,Tees Valley,population_total,2022,690947.0,historical,,,
TLC3,Tees Valley,population_total,2023,702389.0,historical,,,
TLC3,Tees Valley,population_total,2024,712858.0,historical,,,
TLC3,Tees Valley,population_total,2025,696468.678248544,forecast,692849.5792826761,700087.7772144116,
