region_code,region,year,metric,value,ci_lower,ci_upper,formula,method,data_type
E12000002,North West,2031,income_per_worker_gbp,54265.291426208445,50072.39735132065,58420.065945729,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000002,North West,2032,productivity_gbp_per_job,77145.22933470646,72532.33888707338,82252.63561010623,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000002,North West,2032,income_per_worker_gbp,55950.554506237866,51529.87653134332,60395.46998279897,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000002,North West,2033,productivity_gbp_per_job,78441.01268204351,73450.93322719584,84074.85631501305,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000002,North West,2033,income_per_worker_gbp,57657.365026753854,52753.72995505114,62574.042739459976,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000002,North West,2034,productivity_gbp_per_job,79681.9031507272,74374.40125328238,85658.5483323524,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000002,North West,2034,income_per_worker_gbp,59359.04346751788,54021.07092167905,64779.27171208532,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000002,North West,2035,productivity_gbp_per_job,80845.88528868544,75156.23588144452,87336.29494779579,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000002,North West,2035,income_per_worker_gbp,60995.76709224118,55240.77347120066,66642.2299855131,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000002,North West,2036,productivity_gbp_per_job,82026.98808136703,75974.67013330423,88794.59801164846,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000002,North West,2036,income_per_worker_gbp,62615.751328816405,56426.79217321811,68670.01587159054,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000002,North West,2037,productivity_gbp_per_job,83103.38843988103,76780.48450976888,90307.3518166884,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000002,North West,2037,income_per_worker_gbp,64284.567056944514,57759.839879547384,70798.07199859776,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000002,North West,2038,productivity_gbp_per_job,84389.55930710732,77716.73266417766,92077.23346300218,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000002,North West,2038,income_per_worker_gbp,66066.42593926977,58939.862151799025,73054.8216601002,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000002,North West,2039,productivity_gbp_per_job,85906.52128337737,78789.92800059769,93929.6098556724,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000002,North West,2039,income_per_worker_gbp,67953.92934449141,60543.27321378203,75224.23472255608,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000002,North West,2040,productivity_gbp_per_job,87411.6133141511,80017.86960278041,95785.6290251445,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000002,North West,2040,income_per_worker_gbp,69967.21543085747,62202.54065774079,77626.02554573561,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000002,North West,2041,productivity_gbp_per_job,88910.12452623878,81227.31260246104,97814.1022835496,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000002,North West,2041,income_per_worker_gbp,72055.70323707069,63684.0857745745,80304.65933061772,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000002,North West,2042,productivity_gbp_per_job,90494.6945433781,82435.06988487237,99891.32245296684,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000002,North West,2042,income_per_worker_gbp,73927.99852645681,64998.01202227858,82824.63454159089,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
